City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Butaritari,3.07,172.79,79.32200000000003,78,99,4.51,KI,1595351040
Kununurra,-15.77,128.73,57.2,30,37,4.09,AU,1595351230
Vaini,-21.2,-175.2,57.2,100,20,1.13,TO,1595351043
Cidreira,-30.18,-50.21,73.27400000000002,64,53,1.32,BR,1595351230
Ushuaia,-54.8,-68.3,33.8,100,52,1.5,AR,1595351015
Upernavik,72.79,-56.15,49.46000000000008,56,100,0.9,GL,1595351230
Hobart,-42.88,147.33,46.004000000000055,75,76,0.5,AU,1595351111
Havøysund,71.0,24.66,51.8,100,90,2.6,NO,1595351230
Busselton,-33.65,115.33,53.00600000000003,71,14,4.41,AU,1595351230
Kavieng,-2.57,150.8,81.80600000000004,76,22,2.56,PG,1595351230
Ibrā’,22.69,58.53,86.01800000000009,63,100,5.15,OM,1595351230
Mount Isa,-20.73,139.5,62.6,29,20,5.1,AU,1595351230
Saint-Philippe,-21.36,55.77,66.2,77,75,2.6,RE,1595351231
Bluff,-46.6,168.33,39.00200000000008,83,99,1.34,NZ,1595351039
Port Blair,11.67,92.75,82.04000000000002,75,100,1.35,IN,1595351231
Storforshei,66.4,14.52,53.6,76,75,4.1,NO,1595351231
George Town,5.41,100.34,78.80000000000001,100,20,1.5,MY,1595351052
Honningsvåg,70.98,25.97,50.0,100,90,2.6,NO,1595350984
Kemijärvi,66.71,27.43,66.45200000000008,77,100,2.06,FI,1595351231
Khatanga,71.97,102.5,52.91600000000001,70,79,4.63,RU,1595351231
Rikitea,-23.12,-134.97,65.76800000000009,61,34,8.32,PF,1595351232
Punta Arenas,-53.15,-70.92,30.2,92,0,1.0,CL,1595351103
Engel's,51.5,46.12,78.00800000000001,26,32,1.79,RU,1595351232
Tiksi,71.69,128.87,49.11800000000009,89,100,1.79,RU,1595351232
Lensk,60.73,114.93,54.842,93,100,4.49,RU,1595351232
Yellowknife,62.46,-114.35,62.6,93,75,4.6,CA,1595350963
Erenhot,43.65,111.98,80.16800000000009,30,0,7.84,CN,1595351232
Kapaa,22.08,-159.32,75.2,83,75,4.6,US,1595350996
Cochrane,51.18,-114.47,68.0,82,20,0.91,CA,1595351232
Saldanha,-33.01,17.94,62.6,77,0,3.1,ZA,1595351043
Arraial do Cabo,-22.97,-42.03,84.2,61,0,5.1,BR,1595351022
Klaksvík,62.23,-6.59,53.6,81,5,5.1,FO,1595351043
Yaan,7.38,8.57,78.94400000000007,89,26,1.78,NG,1595351232
Avarua,-21.21,-159.78,71.6,94,100,10.3,CK,1595351233
Mataura,-46.19,168.86,39.00200000000008,83,99,1.34,NZ,1595351233
Paramonga,-10.67,-77.83,65.37200000000004,70,76,4.0,PE,1595351233
Jamestown,42.1,-79.24,77.0,73,40,2.1,US,1595351104
Sakakah,29.97,40.21,109.4,8,25,9.3,SA,1595351233
Taldan,53.67,124.8,52.08800000000005,80,88,0.64,RU,1595351233
Hobyo,5.35,48.53,78.06200000000007,76,90,13.54,SO,1595351233
Faya,18.39,42.45,66.2,82,75,5.1,SA,1595351233
Provideniya,64.38,-173.3,46.47200000000004,78,98,0.07,RU,1595351043
Saskylakh,71.92,114.08,48.596000000000046,79,100,5.08,RU,1595351234
Bandarbeyla,9.49,50.81,79.75400000000005,68,24,15.15,SO,1595351234
Havre-St-Pierre,50.23,-63.6,68.0,64,1,11.8,CA,1595351234
Hermanus,-34.42,19.23,57.00200000000008,90,0,3.05,ZA,1595351234
Rudnya,54.95,31.09,64.4,88,75,4.0,RU,1595351234
Atuona,-9.8,-139.03,79.34000000000003,75,29,7.9,PF,1595351234
Tsimmerbude,54.67,20.13,64.4,59,40,7.0,RU,1595351235
Muisne,0.6,-80.03,77.0,88,90,2.6,EC,1595351235
Lebu,-37.62,-73.65,53.024000000000015,78,100,6.32,CL,1595351235
San Patricio,19.22,-104.7,91.4,70,5,2.6,MX,1595351235
Iqaluit,63.75,-68.51,48.2,87,90,8.7,CA,1595351235
Bredasdorp,-34.53,20.04,60.8,77,0,5.1,ZA,1595351235
Rurrenabaque,-14.44,-67.53,87.80000000000001,74,40,2.62,BO,1595350985
Tolaga Bay,-38.37,178.3,50.54000000000002,79,60,1.33,NZ,1595351236
Pangkalanbuun,-2.68,111.62,74.55200000000008,96,62,1.05,ID,1595351112
Castro,-24.79,-50.01,72.23000000000005,52,0,3.61,BR,1595351236
Souillac,-20.52,57.52,69.80000000000001,52,75,4.1,MU,1595351236
Cayenne,4.93,-52.33,89.6,52,75,4.6,GF,1595351057
Kloulklubed,7.04,134.26,77.0,94,75,4.56,PW,1595351236
Hamilton,39.18,-84.53,89.99600000000005,64,78,0.89,US,1595351042
Sitka,57.05,-135.33,55.400000000000006,93,90,1.35,US,1595351236
Hithadhoo,-0.6,73.08,84.41600000000001,76,99,4.57,MV,1595351030
Flin Flon,54.77,-101.86,71.6,56,20,3.6,CA,1595351236
Puerto Ayora,-0.74,-90.35,75.2,69,75,6.2,EC,1595351237
Saint Paul Harbor,57.79,-152.41,60.8,72,1,2.1,US,1595351050
Skibbereen,51.55,-9.27,64.4,72,40,6.2,IE,1595351237
Isangel,-19.55,169.27,68.57600000000009,70,20,5.23,VU,1595351082
Codrington,-38.27,141.97,49.37000000000006,76,94,3.7,AU,1595351237
Asunción,-25.3,-57.64,89.6,33,78,7.2,PY,1595351131
Maţāy,28.42,30.78,93.39800000000002,18,4,6.7,EG,1595351237
Ponta do Sol,32.67,-17.1,73.00400000000005,62,15,0.65,PT,1595351237
Samarai,-10.62,150.67,76.08200000000002,82,52,7.28,PG,1595351238
Port Alfred,-33.59,26.89,64.47200000000004,59,0,5.06,ZA,1595351238
Luwuk,-0.95,122.79,77.09000000000003,79,22,1.95,ID,1595351238
Lavrentiya,65.58,-171.0,43.538000000000046,79,70,2.49,RU,1595351238
Mar del Plata,-38.0,-57.56,51.998000000000026,93,90,9.3,AR,1595351040
Port Lincoln,-34.73,135.87,49.891999999999996,68,11,2.49,AU,1595351077
Grafton,42.21,-71.69,87.99800000000002,54,42,3.73,US,1595351071
Birao,10.28,22.79,77.558,73,28,1.0,CF,1595351238
Zavallya,48.21,30.02,73.04000000000002,74,13,3.63,UA,1595351238
Constitución,-35.33,-72.42,54.68000000000004,76,97,4.9,CL,1595351238
Katsuura,35.13,140.3,77.0,91,93,0.45,JP,1595351238
Kaitangata,-46.28,169.85,42.008,64,100,4.02,NZ,1595351239
Port Elizabeth,-33.92,25.57,60.8,87,0,1.0,ZA,1595350943
Albany,42.6,-73.97,86.0,45,29,3.9,US,1595351239
Nikolskoye,59.7,30.79,71.00600000000003,72,75,2.0,RU,1595351239
Trivandrum,8.48,76.92,84.2,79,75,0.75,IN,1595351143
Chui,-33.7,-53.46,68.70200000000008,85,100,2.14,UY,1595351239
Cape Town,-33.93,18.42,60.998000000000026,82,0,1.0,ZA,1595350717
Dikson,73.51,80.55,38.588000000000044,94,100,6.72,RU,1595351239
Genteng,-8.37,114.15,73.14800000000002,93,79,0.89,ID,1595351239
Nishihara,26.18,127.76,82.4,83,20,2.1,JP,1595351240
Airai,-8.93,125.41,54.69800000000002,93,25,1.47,TL,1595351045
Krasnosel'kup,65.7,82.47,50.25200000000008,68,77,6.54,RU,1595351240
Tabas,33.6,56.92,100.4,11,0,2.1,IR,1595351240
Tasiilaq,65.61,-37.64,46.4,70,40,4.6,GL,1595350984
Ilulissat,69.22,-51.1,55.400000000000006,50,75,1.5,GL,1595351240
Taoudenni,22.68,-3.98,114.45800000000001,7,4,8.97,ML,1595351080
Quelimane,-17.88,36.89,66.90200000000007,79,57,2.82,MZ,1595351240
Road Town,18.42,-64.62,86.0,70,40,4.6,VG,1595351240
Shimoda,34.67,138.95,71.00600000000003,93,89,2.29,JP,1595351240
Teodoro Sampaio,-22.53,-52.17,82.79600000000005,39,0,3.73,BR,1595351240
Mahébourg,-20.41,57.7,69.80000000000001,52,75,4.1,MU,1595351071
High Level,58.52,-117.14,66.2,82,75,3.6,CA,1595351073
Boddam,57.47,-1.78,59.0,67,20,4.1,GB,1595351241
Guye,39.73,118.42,72.98600000000008,66,0,1.43,CN,1595351241
Konosha,60.97,40.26,62.276000000000096,94,92,2.63,RU,1595351241
Dzaoudzi,-12.79,45.27,77.0,69,18,5.7,YT,1595351241
Saint George,37.1,-113.58,95.0,21,1,6.2,US,1595350999
Viedma,-40.81,-63.0,48.992,91,99,1.79,AR,1595351241
Changde,29.05,111.68,78.99800000000002,80,100,0.89,CN,1595351241
